id,"full_name","city","state","mascot","ballpark_name","code","league","division","manager"
1,"Baltimore Orioles","Baltimore","MD","Oriole","Camden Yards","BAL","AL","East","Buck Showalter"
2,"Boston Red Sox","Boston","MA","Green Monster","Fenway Park","BOS","AL","East","John Farrell"
3,"Chicago White Sox","Chicago","IL","Southpaw","U.S. Cellular Field","CWS","AL","Central","Robin Ventura"
4,"Cleveland Indians","Cleveland","OH","Slider","Progressive Field","CLE","AL","Central","Terry Francona"
5,"Detroit Tigers","Detroit","MI","Paws","Comerica Park","DET","AL","Central","Brad Ausmus"
6,"Houston Astros","Houston","TX","Astro","Minute Maid Park","HOU","AL","West","A. J. Hinch"
7,"Kansas City Royals","Kansas City","MO","Slugerrr","Kauffman Stadium","KC","AL","Central","Ned Yost"
8,"Minnesota Twins","Minnesota","MN","T.C. Bear","Target Field","MIN","AL","Central","Paul Molitor"
9,"New York Yankees","New York","NY","Yankee","Yankee Stadium","NYY","AL","East","Joe Girardi"
10,"Oakland Athletics","Oakland","CA","Stomper","Oakland-Alameda County Coliseum","OAK","AL","West","Bob Melvin"
11,"Seattle Mariners","Seattle","WA","Mariner Moose","Safeco Field","SEA","AL","West","Lloyd McClendon"
12,"Tampa Bay Rays","Tampa Bay","FL","Raymond","Tropicana Field","TB","AL","East","Kevin Cash"
13,"Texas Rangers","Dallas","TX","Ranger","Rangers Ballpark in Arlington","TEX","AL","West","Jeff Banister"
14,"Toronto Blue Jays","Toronto","ON","Diamond","Rogers Centre","TOR","AL","East","John Gibbons"
15,"Los Angeles Angels","Los Angeles","CA","Rally Monkey","Angel Stadium of Anaheim","LAA","AL","West","Mike Scioscia"
16,"Arizona Diamondbacks","Phoenix","AZ","D. Baxter the Bobcat","Chase Field","ARI","NL","West","Chip Hale"
17,"Atlanta Braves","Atlanta","GA","Homer","Turner Field","ATL","NL","East","Fredi González"
18,"Chicago Cubs","Chicago","IL","Clark","Wrigley Field","CHC","NL","Central","Joe Maddon"
19,"Cincinnati Reds","Cincinnati","OH","Gapper","Great American Ball Park","CIN","NL","Central","Dusty Baker"
20,"Colorado Rockies","Denver","CO","Dinger","Coors Field","COL","NL","West","Walt Weiss"
21,"Los Angeles Dodgers","Los Angeles","CA","Dodger","Dodger Stadium","LAD","NL","West","Don Mattingly"
22,"Miami Marlins","Miami","FL","Billy the Marlin","Marlins Park","MIA","NL","East","Mike Redmond"
23,"Milwaukee Brewers","Milwaukee","WI","Bonnie Brewer","Miller Park","MIL","NL","Central","Ron Roenicke"
24,"New York Mets","New York","NY","Mr. Met","Citi Field","NYM","NL","East","Terry Collins"
25,"Philadelphia Phillies","Philadelphia","PA","Phillie Phanatic","Citizens Bank Park","PHI","NL","East","Ryne Sandberg"
26,"Pittsburgh Pirates","Pittsburgh","PA","Buccaneer","PNC Park","PIT","NL","Central","Clint Hurdle"
27,"San Diego Padres","San Diego","CA","Swinging Friar","Petco Park","SD","NL","West","Bud Black"
28,"San Francisco Giants","San Francisco","CA","Lou Seal","AT&T Park","SF","NL","West","Bruce Bochy"
29,"St. Louis Cardinals","St. Louis","MO","Fredbird","Busch Stadium","STL","NL","Central","Mike Matheny"
30,"Washington Nationals","Washington, D.C.","DC","Screech","Nationals Park","WAS","NL","East","Matt Williams"
